run_id,itr,counts(idx=0),counts(idx=1),counts(idx=2),counts(idx=3),counts(idx=4),counts(idx=5),counts(idx=6),counts(idx=7),counts(idx=8),counts(idx=9),counts(idx=10),counts(idx=11),counts(idx=12),counts(idx=13),counts(idx=14),counts(idx=15),counts(idx=16),counts(idx=17),counts(idx=18),counts(idx=19)
35e85ba1-0b04-43e8-b95d-cd57e275ef26,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9297e856-2aa2-4dae-931d-45fb2c0270e7,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
35e85ba1-0b04-43e8-b95d-cd57e275ef26,1,79,3,0,2,2,0,1,2,1,1,0,1,0,1,0,1,4,2,0,0
9297e856-2aa2-4dae-931d-45fb2c0270e7,1,84,2,0,0,1,1,1,0,1,2,3,1,0,2,0,0,0,0,1,1
35e85ba1-0b04-43e8-b95d-cd57e275ef26,2,80,0,2,3,1,1,1,1,0,1,1,1,1,1,1,0,0,2,2,1
9297e856-2aa2-4dae-931d-45fb2c0270e7,2,70,3,2,2,2,1,2,0,2,1,3,2,1,3,2,1,2,0,1,0
35e85ba1-0b04-43e8-b95d-cd57e275ef26,3,63,2,3,3,1,3,3,2,1,1,2,2,1,1,2,2,3,2,1,2
9297e856-2aa2-4dae-931d-45fb2c0270e7,3,58,3,2,2,2,2,1,0,2,3,4,3,5,2,2,3,4,1,1,0
35e85ba1-0b04-43e8-b95d-cd57e275ef26,4,45,1,4,5,1,5,3,2,2,3,3,4,2,3,3,5,3,2,2,2
9297e856-2aa2-4dae-931d-45fb2c0270e7,4,85,0,1,0,0,0,0,3,0,0,1,3,0,2,0,2,0,2,1,0
35e85ba1-0b04-43e8-b95d-cd57e275ef26,5,79,2,0,4,2,1,0,0,0,1,0,1,1,1,1,2,0,1,3,1
9297e856-2aa2-4dae-931d-45fb2c0270e7,5,76,0,2,2,2,1,2,3,1,1,1,0,1,1,2,0,4,0,1,0
35e85ba1-0b04-43e8-b95d-cd57e275ef26,6,64,2,1,3,3,3,3,2,2,1,1,2,3,1,3,2,1,1,1,1
9297e856-2aa2-4dae-931d-45fb2c0270e7,6,63,0,3,3,3,2,3,2,1,3,2,1,2,2,1,2,5,1,1,0
35e85ba1-0b04-43e8-b95d-cd57e275ef26,7,55,4,2,3,2,3,3,4,2,1,1,2,3,2,3,2,2,2,2,2
9297e856-2aa2-4dae-931d-45fb2c0270e7,7,55,1,4,5,2,1,3,4,2,4,1,1,4,4,3,2,2,1,1,0
35e85ba1-0b04-43e8-b95d-cd57e275ef26,8,45,4,3,4,2,4,4,7,4,1,3,2,1,3,3,2,2,2,3,1
9297e856-2aa2-4dae-931d-45fb2c0270e7,8,46,2,4,4,3,1,1,3,4,3,1,4,4,2,4,1,5,3,2,3
35e85ba1-0b04-43e8-b95d-cd57e275ef26,9,84,4,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
