run_id,itr,pool_members_uuids
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,0,['a5dccba5-58a1-48a8-a57d-b9b60750d11d']
1c7c79f3-6b44-441e-aa82-77989f003f65,0,['57114492-03f5-4e0c-b27e-fe305d397863']
c43a1453-5f56-4e01-ba68-b88d8077d677,0,['e0fec6f6-775f-4e69-abdb-ccdba4151585']
2ea8692c-4d6b-43a0-ba97-0267768eb856,0,['9a124549-f997-4340-a1ba-a504a6da51f5']
00169386-2a20-4b4d-a3d7-9a92550cfacb,0,['0e62ee48-1d32-4d15-9341-6c4354a0edc7']
a9fdefc6-899b-443b-90a6-9f7677754661,0,['a33bdf7e-ba15-4466-9f82-158eaca576f2']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,0,['660989fc-bcd7-4d4f-a349-9a665acd615b']
d27fd4ef-99fe-45d8-aa65-df711ba68087,0,['6648ecb2-a085-4167-9ccd-54838014c25d']
1c7c79f3-6b44-441e-aa82-77989f003f65,1,['86eae002-b936-4728-9dd9-34e456231a17']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,1,['762f4769-37f3-494d-a9ba-4029c215eb64']
c43a1453-5f56-4e01-ba68-b88d8077d677,1,['313d79f6-c1fc-40b2-ad19-c84388a9acdb']
00169386-2a20-4b4d-a3d7-9a92550cfacb,1,['5a3f5aba-3e6a-4572-93e5-496ac739b936']
2ea8692c-4d6b-43a0-ba97-0267768eb856,1,['2854ff1a-8a20-4aa2-b48d-d41e1d3e6a23']
a9fdefc6-899b-443b-90a6-9f7677754661,1,['205239e1-e017-4a7d-9ca6-40c6b79ee899']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,1,['1a4d6021-19ae-4bb2-8ebf-917427db5f00']
d27fd4ef-99fe-45d8-aa65-df711ba68087,1,['4ac05ccb-4f09-4c42-b078-e548e2219131']
c43a1453-5f56-4e01-ba68-b88d8077d677,2,['b458412e-a306-4d0f-b980-bafe569719f6']
1c7c79f3-6b44-441e-aa82-77989f003f65,2,['86725c8a-f25f-4c1d-b588-57bbf44501ac']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,2,['9b4f1389-b4b2-41ce-9b8d-12cb4433e4aa']
00169386-2a20-4b4d-a3d7-9a92550cfacb,2,['d13dad28-51f4-4b34-a770-a55b61d4aa26']
2ea8692c-4d6b-43a0-ba97-0267768eb856,2,['c1834d92-f4e8-4641-98fc-3cb8e256cc28']
a9fdefc6-899b-443b-90a6-9f7677754661,2,['ac0cdb92-fae9-4e3e-bf53-f59a0af388e0']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,2,['0a9240a9-57c7-4470-874a-5d28dd781502']
d27fd4ef-99fe-45d8-aa65-df711ba68087,2,['ea1bdde3-5ca7-41b1-af4f-ed8f5e695cc3']
1c7c79f3-6b44-441e-aa82-77989f003f65,3,['eb6968d4-205b-4e35-ab9a-31329d6731fb']
c43a1453-5f56-4e01-ba68-b88d8077d677,3,['e779b13d-738c-4ba9-971c-3358907a2742']
d27fd4ef-99fe-45d8-aa65-df711ba68087,3,['08702382-6f17-4111-8ef4-6529ebe3224a']
c43a1453-5f56-4e01-ba68-b88d8077d677,4,['8a957810-5d15-4da0-8f51-239576aa39d1']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,3,['eb245ce2-3155-43ab-8473-7f567788cf4c']
00169386-2a20-4b4d-a3d7-9a92550cfacb,3,['2e073e23-3911-476c-8351-6fbdb931c6dc']
2ea8692c-4d6b-43a0-ba97-0267768eb856,3,['c7370e9c-47fa-4a14-8317-0fafaf47069a']
1c7c79f3-6b44-441e-aa82-77989f003f65,4,['2386c438-fd9b-41e1-ac31-d0798562b415']
a9fdefc6-899b-443b-90a6-9f7677754661,3,['dd02928f-cd6c-46b2-acc1-24f99b2c13c2']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,3,['68a3a331-bac6-4b09-b6d7-45929051e05a']
c43a1453-5f56-4e01-ba68-b88d8077d677,5,['c4a42764-6243-479d-afdf-6cb0b9114d9a']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,4,['57548384-eed5-4a3c-9086-9b86edc89752']
d27fd4ef-99fe-45d8-aa65-df711ba68087,4,['f0543d1d-4cb5-4e16-afe7-2e9013d48dfc']
00169386-2a20-4b4d-a3d7-9a92550cfacb,4,['524f1dc1-269f-4121-bdbf-59eef978fc1b']
1c7c79f3-6b44-441e-aa82-77989f003f65,5,['1fd63b60-b4ca-4eb8-b57b-4b54c99b37d9']
2ea8692c-4d6b-43a0-ba97-0267768eb856,4,['2b2dc513-25c6-45fd-b6fb-ee5107e77a48']
a9fdefc6-899b-443b-90a6-9f7677754661,4,['0fb1b0e1-56c9-4d16-b10d-8bd34f084167']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,4,['6a069090-9853-4841-87e6-ddc7251a8c62']
c43a1453-5f56-4e01-ba68-b88d8077d677,6,['d0696e09-8eef-4213-b168-23ea24bebb18']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,5,['61399672-0ac4-42a3-9e94-662b879fe456']
2ea8692c-4d6b-43a0-ba97-0267768eb856,5,['72e44e62-7088-4a61-952e-b4ecb2619a7f']
00169386-2a20-4b4d-a3d7-9a92550cfacb,5,['32dc930a-bad1-4d69-bc5e-b1e2e53a5ff5']
1c7c79f3-6b44-441e-aa82-77989f003f65,6,['2eae10d1-96c9-4891-812f-85dc146f4a6e']
d27fd4ef-99fe-45d8-aa65-df711ba68087,5,['177e5601-e376-4216-98be-06fbbfe1c17b']
a9fdefc6-899b-443b-90a6-9f7677754661,5,['fd0a04bf-3c76-4136-a9f4-bde768053157']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,5,['2dd5862d-5629-4617-a521-693c95244bd8']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,6,['fe62dc61-a449-4180-848c-810a611d7ac4']
2ea8692c-4d6b-43a0-ba97-0267768eb856,6,['18a5e9af-ffab-487c-ba4e-abf184057bc2']
00169386-2a20-4b4d-a3d7-9a92550cfacb,6,['5b4eb9b3-53e8-494a-9fa7-fb5c73de165c']
c43a1453-5f56-4e01-ba68-b88d8077d677,7,['a86689ac-94fe-42d8-8216-d1b9c980a24c']
1c7c79f3-6b44-441e-aa82-77989f003f65,7,['e16c957c-8238-4007-a8db-b8d0302a95b5']
d27fd4ef-99fe-45d8-aa65-df711ba68087,6,['f7158ecb-cb7c-472e-8e43-457d6f0c3c3c']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,7,['acd21d31-4a2b-43ae-842a-e0891f0e6942']
a9fdefc6-899b-443b-90a6-9f7677754661,6,['fd523506-268f-4940-8f72-1d3cb4a9a837']
2ea8692c-4d6b-43a0-ba97-0267768eb856,7,['646b7058-c7d4-49fc-8c00-2fe60b8c587c']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,6,['f7b1a4e6-f858-4542-a5a4-216b8d92127a']
00169386-2a20-4b4d-a3d7-9a92550cfacb,7,['be20493b-120e-47db-9d7e-6857d1b13624']
c43a1453-5f56-4e01-ba68-b88d8077d677,8,['54a6b27b-b24a-4b4e-9017-94e1a8f1193f']
1c7c79f3-6b44-441e-aa82-77989f003f65,8,['539f73b4-b308-4163-9c0e-429e760bafd9']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,8,['f560f9a8-e306-4aea-978f-ed1087a98118']
d27fd4ef-99fe-45d8-aa65-df711ba68087,7,['bf7a4f36-b167-4b85-92bc-228e77ca9a5c']
2ea8692c-4d6b-43a0-ba97-0267768eb856,8,['c8f7f125-e959-4fcd-9d22-cff209cc4cd4']
a9fdefc6-899b-443b-90a6-9f7677754661,7,['72dab025-4c3c-497b-bbbe-2a851d614ab5']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,7,['04d328b1-e5c3-4540-ad17-5188848c4ea8']
00169386-2a20-4b4d-a3d7-9a92550cfacb,8,['5de1b830-1c10-4616-935b-368415fc7f93']
c43a1453-5f56-4e01-ba68-b88d8077d677,9,['bf5ac992-987d-4d2f-9591-abc7f29e0360']
1c7c79f3-6b44-441e-aa82-77989f003f65,9,['2fd52e0a-4757-458f-9bfd-d0c1d0af5543']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,9,['9b6d5464-3fc0-4ac9-a059-42d187428ec8']
1c7c79f3-6b44-441e-aa82-77989f003f65,10,['6b6a03ba-ab91-413a-b1c2-331d847b620c']
2ea8692c-4d6b-43a0-ba97-0267768eb856,9,['67bd0212-feb8-44e6-a391-638319912361']
d27fd4ef-99fe-45d8-aa65-df711ba68087,8,['ee63fac3-a560-4f1c-817d-5e5d6118a1cf']
a9fdefc6-899b-443b-90a6-9f7677754661,8,['b425dfe7-c510-4608-a4fd-1b32ecd13db2']
00169386-2a20-4b4d-a3d7-9a92550cfacb,9,['8837998a-7e58-4339-a44e-e5afd3f2da0c']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,8,['9fe8f30e-b9df-4f25-976b-6f51409542c0']
c43a1453-5f56-4e01-ba68-b88d8077d677,10,['a59115b3-1cbc-4737-bf18-8589520b390e']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,10,['83361758-45ec-402a-b719-1c63b2823cfb']
1c7c79f3-6b44-441e-aa82-77989f003f65,11,['7b7b2e16-f76f-49e7-98b3-92231e3a7ea8']
2ea8692c-4d6b-43a0-ba97-0267768eb856,10,['73f61c24-eeda-453c-88ea-e81173b97558']
a9fdefc6-899b-443b-90a6-9f7677754661,9,['2b85b58c-72da-46de-a8ea-b831f6e0ea54']
00169386-2a20-4b4d-a3d7-9a92550cfacb,10,['1213ebb8-4075-49a0-8e94-25f5d05ec0bb']
d27fd4ef-99fe-45d8-aa65-df711ba68087,9,['11ddd998-efdb-4d20-8fa5-02edc1a5b0ff']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,9,['e76f8883-6fe6-4790-9d51-4419fad7fde6']
c43a1453-5f56-4e01-ba68-b88d8077d677,11,['b28fe128-efc5-472a-b2c5-c59fd85249d5']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,11,['ff7ddd15-b0b7-4a47-a1d7-48f975e2bea2']
2ea8692c-4d6b-43a0-ba97-0267768eb856,11,['2e6ec200-3fdc-46ed-8477-976bf6d55fb9']
1c7c79f3-6b44-441e-aa82-77989f003f65,12,['d5a3442e-f0e7-4561-b104-9c564859c4ae']
00169386-2a20-4b4d-a3d7-9a92550cfacb,11,['da1688fc-80b5-4274-9585-7b3d01e2f4f4']
a9fdefc6-899b-443b-90a6-9f7677754661,10,['3552df6e-ec3e-418f-98d1-6a210723805d']
c43a1453-5f56-4e01-ba68-b88d8077d677,12,['be9fbe35-da1f-4ded-b259-7dde617caf41']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,10,['ba57bb57-1864-4f75-9ebb-ffe85d1e93e9']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,12,['9647fb5a-ff4a-4209-bd9b-29c153bf2a13']
2ea8692c-4d6b-43a0-ba97-0267768eb856,12,['9c112204-1b83-4a9c-8f95-5701fff832b7']
d27fd4ef-99fe-45d8-aa65-df711ba68087,10,['2c181b5a-6261-46cb-ad6f-d3c5ed3ab03f']
1c7c79f3-6b44-441e-aa82-77989f003f65,13,['4c9fb712-4590-40b7-9e1f-94230134191f']
00169386-2a20-4b4d-a3d7-9a92550cfacb,12,['f73304d6-0ddc-45f9-b4fe-0fab8cf29e4d']
c43a1453-5f56-4e01-ba68-b88d8077d677,13,['90398498-23c9-4cd1-8d24-892491cfe013']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,13,['43d07093-b22a-408a-9e37-2ea27bb73766']
a9fdefc6-899b-443b-90a6-9f7677754661,11,['7bd044d8-6441-4fc6-8c5e-7e881307cb29']
2ea8692c-4d6b-43a0-ba97-0267768eb856,13,['f7f42365-8659-4731-b1c8-96b146d8d7cd']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,11,['6f93d1e5-2c1a-46a5-9be1-377465272687']
d27fd4ef-99fe-45d8-aa65-df711ba68087,11,['b456d7ed-5e05-483b-aff1-84d68eb31366']
1c7c79f3-6b44-441e-aa82-77989f003f65,14,['14d6296a-37e9-42fc-b2fe-2b3129592c34']
00169386-2a20-4b4d-a3d7-9a92550cfacb,13,['3f51b4f0-ac50-4eeb-84f9-9bce76892973']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,14,['2567fde4-392e-4675-8482-206c921c5df2']
c43a1453-5f56-4e01-ba68-b88d8077d677,14,['79ea80fb-6ea4-4333-993b-31426aa4eff7']
2ea8692c-4d6b-43a0-ba97-0267768eb856,14,['5873e137-81b9-47c7-b58b-63fa9a932d80']
a9fdefc6-899b-443b-90a6-9f7677754661,12,['2170856a-aa43-478e-b4e5-dc5735fbb370']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,12,['4f68741b-2ab2-415d-b6b1-c70d902ad8c4']
1c7c79f3-6b44-441e-aa82-77989f003f65,15,['37f7e7f1-eb47-453a-8399-cfef6de9f74e']
d27fd4ef-99fe-45d8-aa65-df711ba68087,12,['1a2e6a80-e898-4cd7-86a4-a771855a8da8']
2ea8692c-4d6b-43a0-ba97-0267768eb856,15,['2990bb6f-70d2-4a80-a460-08a60331d103']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,15,['02d1aa75-d37d-47a8-bc85-69e8b7d4cb61']
00169386-2a20-4b4d-a3d7-9a92550cfacb,14,['994e9064-dd4d-4b1d-8014-43cc8d7c632f']
c43a1453-5f56-4e01-ba68-b88d8077d677,15,['15d970dc-158e-4513-9e24-755900c59603']
a9fdefc6-899b-443b-90a6-9f7677754661,13,['9636b7b2-3f6c-4c1d-b998-0739e98892e1']
1c7c79f3-6b44-441e-aa82-77989f003f65,16,['448f3242-3e09-4def-86f4-25a550683899']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,13,['4827ed61-75fe-44b8-b276-d61133c44141']
2ea8692c-4d6b-43a0-ba97-0267768eb856,16,['53a4136b-a5b1-42a1-bb19-45e62e57a910']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,16,['119c95f7-cb3d-4885-8db1-a3883441cf26']
00169386-2a20-4b4d-a3d7-9a92550cfacb,15,['f4ea9578-e915-43cb-a577-277de239461a']
c43a1453-5f56-4e01-ba68-b88d8077d677,16,['3e876395-d134-429f-82e7-f66a1e018514']
d27fd4ef-99fe-45d8-aa65-df711ba68087,13,['9dd2de2d-672d-4171-8bc4-ae460267099e']
1c7c79f3-6b44-441e-aa82-77989f003f65,17,['e031f102-199a-4f06-987b-3e9c1836d19a']
a9fdefc6-899b-443b-90a6-9f7677754661,14,['7eaafe33-f29d-4e95-972d-94de411da83b']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,14,['e82a9680-d41f-4063-9f59-d4c841e507c8']
2ea8692c-4d6b-43a0-ba97-0267768eb856,17,['a2576212-3ddd-4352-9ffc-eaacc596f59c']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,17,['67f93657-1851-488c-b8b2-f05e2c6ae222']
00169386-2a20-4b4d-a3d7-9a92550cfacb,16,['a0463d57-f041-49d3-9d14-2e2dc6fbd54e']
c43a1453-5f56-4e01-ba68-b88d8077d677,17,['3585096c-fa4e-4577-b636-b216ee599d94']
d27fd4ef-99fe-45d8-aa65-df711ba68087,14,['8b320b4e-2313-435d-a2fc-f0bb594d0f01']
1c7c79f3-6b44-441e-aa82-77989f003f65,18,['8b110237-5b42-4e56-b1a5-6856a32f258f']
2ea8692c-4d6b-43a0-ba97-0267768eb856,18,['5e77cb44-390a-4a47-aa6a-aebb199654f6']
a9fdefc6-899b-443b-90a6-9f7677754661,15,['cc789bde-f302-4df5-9879-8190b4f3bf84']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,15,['5a698f95-611e-4937-9c5e-1d1e3ff7317e']
00169386-2a20-4b4d-a3d7-9a92550cfacb,17,['67f29cf6-6a5f-4803-b98a-c9381f99da8e']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,18,['a3a78885-2759-4c40-8155-077895d92dff']
c43a1453-5f56-4e01-ba68-b88d8077d677,18,['41f81159-373d-440f-9f15-e89be50826f9']
2ea8692c-4d6b-43a0-ba97-0267768eb856,19,['e9c33b0d-cb2a-4c03-b98d-6c99e8722161']
d27fd4ef-99fe-45d8-aa65-df711ba68087,15,['82a68667-08e7-4e7b-af3e-be3a438e014d']
1c7c79f3-6b44-441e-aa82-77989f003f65,19,['2414a1be-2304-4825-ada3-73f510348342']
a9fdefc6-899b-443b-90a6-9f7677754661,16,['9b461aac-594b-4927-837a-18bd288fa22c']
00169386-2a20-4b4d-a3d7-9a92550cfacb,18,['5291889e-d4ca-4fc7-a72a-a54540b41c1f']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,19,['85081049-3e0e-4301-8acb-5c8954d8b482']
c43a1453-5f56-4e01-ba68-b88d8077d677,19,['761bccce-a51e-495d-a000-53c5cfae576e']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,16,['4aab089d-4b7d-4fae-9fdd-5cd17b9f880b']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,17,['c9700c2a-cf83-4a3b-8da8-e7ece4c4a1c7']
2ea8692c-4d6b-43a0-ba97-0267768eb856,20,['b86ec735-bae9-45ce-8b4a-b33f57928a92']
1c7c79f3-6b44-441e-aa82-77989f003f65,20,['558c8100-22c2-47bd-9062-3cce1bc624f0']
d27fd4ef-99fe-45d8-aa65-df711ba68087,16,['41f797cd-66c1-4362-ba0b-d2e34f3e605f']
c43a1453-5f56-4e01-ba68-b88d8077d677,20,['78cda421-3be3-46a8-99df-b6e241847b58']
a9fdefc6-899b-443b-90a6-9f7677754661,17,['2dc716ac-ee31-4a81-96eb-208432ca65e6']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,20,['9e496577-5536-4bec-8241-540cbcd3439d']
00169386-2a20-4b4d-a3d7-9a92550cfacb,19,['43b37141-89c3-46ad-9e85-80831b497727']
2ea8692c-4d6b-43a0-ba97-0267768eb856,21,['cad9635d-4020-4ad2-a60a-af80a7bfcf81']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,18,['c2cc29de-4c2e-4275-8d75-c931a8830a7e']
1c7c79f3-6b44-441e-aa82-77989f003f65,21,['24b79ba2-5cdd-4ce0-9c84-756d41911695']
c43a1453-5f56-4e01-ba68-b88d8077d677,21,['f3ec4533-7a70-4591-a1aa-bf00bf7e717e']
d27fd4ef-99fe-45d8-aa65-df711ba68087,17,['b485b8e2-50ac-4909-ac69-2fb290b03b0c']
00169386-2a20-4b4d-a3d7-9a92550cfacb,20,['5dbada5a-2156-4755-8cdd-98fa097902c2']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,21,['28c77ba9-9547-4af3-b372-f2da5c8f8e01']
a9fdefc6-899b-443b-90a6-9f7677754661,18,['70ed16ff-b306-4fed-95a3-1a2796a46a37']
2ea8692c-4d6b-43a0-ba97-0267768eb856,22,['9b5a63a7-5489-40ee-a085-971ae97c8aa0']
c43a1453-5f56-4e01-ba68-b88d8077d677,22,['6a7609c1-19aa-4c0f-86be-86fe6db43851']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,19,['e7638cc8-cc9f-402e-8002-9c15b1dd05ca']
1c7c79f3-6b44-441e-aa82-77989f003f65,22,['103b582f-65f3-461e-a244-15a357f95d08']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,22,['184bf539-93e3-411e-8d21-703ba6005303']
00169386-2a20-4b4d-a3d7-9a92550cfacb,21,['a9b1a118-979d-4c6b-a1c5-108e8c3b7cc8']
d27fd4ef-99fe-45d8-aa65-df711ba68087,18,['ae014362-6d20-4430-9ea0-9f7bb0805a52']
a9fdefc6-899b-443b-90a6-9f7677754661,19,['b4bfcada-c95e-4a86-999a-3813b8cbbd52']
2ea8692c-4d6b-43a0-ba97-0267768eb856,23,['2643262f-46ad-4d34-9448-77c0ebae7df1']
c43a1453-5f56-4e01-ba68-b88d8077d677,23,['7b77b1f4-1305-4df9-ac3e-0dfdcf846fb5']
1c7c79f3-6b44-441e-aa82-77989f003f65,23,['e592ae99-41ba-4634-99a5-9967f4707059']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,20,['9ec29ba7-e46f-4318-9bb2-15660156a92d']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,23,['d8338c0b-a9e2-4b26-87c9-b8e941c531eb']
00169386-2a20-4b4d-a3d7-9a92550cfacb,22,['f56803e1-8f92-4e3a-a634-0c34d8ca4cc1']
d27fd4ef-99fe-45d8-aa65-df711ba68087,19,['c122bcc7-ee5b-44fb-9114-69d150348d5c']
c43a1453-5f56-4e01-ba68-b88d8077d677,24,['f104612b-32c5-4323-ad0f-93e973acc88f']
2ea8692c-4d6b-43a0-ba97-0267768eb856,24,['f3c0251c-39fb-4578-9dc9-115025e903b0']
a9fdefc6-899b-443b-90a6-9f7677754661,20,['02b6c529-f3c7-43b9-8339-071168b41d0e']
1c7c79f3-6b44-441e-aa82-77989f003f65,24,['768584f4-b155-4b2d-bca7-36c1d72a743e']
4a28b9f8-eb7a-4f30-90c1-c2799e653f42,24,['9e957c53-2172-446a-9bf1-60e7049f5845']
00169386-2a20-4b4d-a3d7-9a92550cfacb,23,['6c6ef91e-9962-458b-8a8f-d013d31b98d4']
9dc04195-246a-4cfb-8e59-9d3363f19eb2,21,['e66fc8ff-d7b4-4eab-8788-3e4af491e082']
c43a1453-5f56-4e01-ba68-b88d8077d677,25,['cb540bdc-ffdb-42bc-9e6e-1bec2262baf8']
2ea8692c-4d6b-43a0-ba97-0267768eb856,25,['7b0027e9-51a0-4ad4-abdd-1d36fdce1686']
d27fd4ef-99fe-45d8-aa65-df711ba68087,20,['1b552290-c11b-4a47-879c-952a53db95e4']
